i1,i2
8939,3339
8940,3324
8941,3333
8943,3327
8945,3345
8946,3322
8948,3340
8950,3334
8951,3343
8952,3328
8953,3337
8955,3323
8956,3332
8958,3326
8960,3344
8962,3338
8963,3347
8965,3573
8966,3582
8967,3567
8969,3585
8970,3570
8971,3579
8973,3565
8974,3574
8977,3577
8978,3586
8979,3571
8981,3589
8982,3566
8984,3584
8985,3569
8986,3578
8989,3581
8990,3590
8992,2952
8993,2961
8995,2955
8996,2964
8998,2958
8999,2967
9001,2953
9002,2962
9004,2956
9005,2965
9007,2959
9008,2968
9010,2954
9011,2963
9013,2957
9014,2966
9016,2960
9017,2969
9019,3195
9020,3204
9021,3189
9022,3198
9024,3192
9026,3210
9027,3187
9029,3205
9031,3199
9032,3208
9033,3193
9034,3202
9036,3188
9037,3197
9039,3191
9041,3209
9043,3203
9044,3212
9046,3438
9047,3447
9048,3432
9050,3450
9051,3435
9052,3444
9054,3430
9055,3439
9058,3442
9059,3451
9060,3436
9062,3454
9063,3431
9065,3449
9066,3434
9067,3443
9070,3446
9071,3455
9102,3270
9103,3279
9104,3288
9105,3273
9106,3282
9107,3291
9108,3268
9109,3277
9110,3286
9114,3274
9115,3283
9116,3292
9117,3269
9118,3278
9119,3287
9120,3272
9121,3281
9122,3290
9129,3513
9130,3522
9131,3531
9132,3516
9133,3525
9134,3534
9135,3511
9136,3520
9137,3529
9141,3517
9142,3526
9143,3535
9144,3512
9145,3521
9146,3530
9147,3515
9148,3524
9149,3533
9154,3114
9155,3123
9157,3117
9158,3126
9160,3120
9161,3129
9163,3115
9164,3124
9166,3118
9167,3127
9169,3121
9170,3130
9172,3116
9173,3125
9175,3119
9176,3128
9178,3122
9179,3131
9181,3357
9182,3366
9183,3351
9185,3369
9186,3354
9187,3363
9189,3349
9190,3358
9193,3361
9194,3370
9195,3355
9197,3373
9198,3350
9200,3368
9201,3353
9202,3362
9205,3365
9206,3374
9208,3600
9209,3609
9210,3594
9211,3603
9213,3597
9215,3615
9216,3592
9218,3610
9220,3604
9221,3613
9222,3598
9223,3607
9225,3593
9226,3602
9228,3596
9230,3614
9232,3608
9233,3617
9235,2979
9236,2988
9238,2982
9239,2991
9241,2985
9242,2994
9244,2980
9245,2989
9247,2983
9248,2992
9250,2986
9251,2995
9253,2981
9254,2990
9256,2984
9257,2993
9259,2987
9260,2996
9262,3222
9263,3231
9264,3216
9266,3234
9267,3219
9268,3228
9270,3214
9271,3223
9274,3226
9275,3235
9276,3220
9278,3238
9279,3215
9281,3233
9282,3218
9283,3227
9286,3230
9287,3239
9289,3465
9290,3474
9291,3459
9292,3468
9294,3462
9296,3480
9297,3457
9299,3475
9301,3469
9302,3478
9303,3463
9304,3472
9306,3458
9307,3467
9309,3461
9311,3479
9313,3473
9314,3482
9316,3060
9317,3069
9319,3063
9320,3072
9322,3066
9323,3075
9325,3061
9326,3070
9328,3064
9329,3073
9331,3067
9332,3076
9334,3062
9335,3071
9337,3065
9338,3074
9340,3068
9341,3077
9343,3303
9344,3312
9345,3297
9346,3306
9348,3300
9350,3318
9351,3295
9353,3313
9355,3307
9356,3316
9357,3301
9358,3310
9360,3296
9361,3305
9363,3299
9365,3317
9367,3311
9368,3320
9370,3546
9371,3555
9372,3540
9374,3558
9375,3543
9376,3552
9378,3538
9379,3547
9382,3550
9383,3559
9384,3544
9386,3562
9387,3539
9389,3557
9390,3542
9391,3551
9394,3554
9395,3563
9426,3378
9427,3387
9428,3396
9429,3381
9430,3390
9431,3399
9432,3376
9433,3385
9434,3394
9438,3382
9439,3391
9440,3400
9441,3377
9442,3386
9443,3395
9444,3380
9445,3389
9446,3398
9453,3621
9454,3630
9455,3639
9456,3624
9457,3633
9458,3642
9459,3619
9460,3628
9461,3637
9465,3625
9466,3634
9467,3643
9468,3620
9469,3629
9470,3638
9471,3623
9472,3632
9473,3641
9567,9559
9570,9562
9573,9565
9576,9560
9577,9569
9579,9563
9580,9572
9582,9566
9583,9575
9648,9640
9651,9643
9654,9646
9657,9641
9658,9650
9660,9644
9661,9653
9663,9647
9664,9656
9721,9513
9722,9522
9723,9507
9725,9525
9726,9510
9727,9519
9730,9514
9731,9523
9732,9508
9734,9526
9735,9511
9736,9520
9739,9515
9740,9524
9741,9509
9743,9527
9744,9512
9745,9521
9756,9748
9759,9751
9762,9754
9765,9749
9766,9758
9768,9752
9769,9761
9771,9755
9772,9764
9804,9588
9805,9597
9806,9606
9807,9591
9808,9600
9809,9609
9810,9586
9811,9595
9812,9604
9816,9592
9817,9601
9818,9610
9819,9587
9820,9596
9821,9605
9822,9590
9823,9599
9824,9608
9883,9675
9884,9684
9885,9669
9886,9678
9888,9672
9890,9690
9891,9667
9892,9676
9894,9670
9896,9688
9898,9682
9899,9691
9900,9668
9902,9686
9904,9680
9905,9689
9906,9674
9907,9683
9918,9910
9921,9913
9924,9916
9927,9911
9928,9920
9930,9914
9931,9923
9933,9917
9934,9926
9964,9540
9965,9549
9966,9534
9968,9552
9969,9537
9970,9546
9973,9541
9974,9550
9975,9535
9977,9553
9978,9538
9979,9547
9982,9542
9983,9551
9984,9536
9986,9554
9987,9539
9988,9548
9991,9783
9992,9792
9993,9777
9994,9786
9996,9780
9998,9798
9999,9775
10000,9784
10002,9778
10004,9796
10006,9790
10007,9799
10008,9776
10010,9794
10012,9788
10013,9797
10014,9782
10015,9791
10026,10018
10029,10021
10032,10024
10035,10019
10036,10028
10038,10022
10039,10031
10041,10025
10042,10034
10045,9621
10046,9630
10047,9615
10048,9624
10050,9618
10052,9636
10053,9613
10054,9622
10056,9616
10058,9634
10060,9628
10061,9637
10062,9614
10064,9632
10066,9626
10067,9635
10068,9620
10069,9629
10072,9864
10073,9873
10074,9858
10076,9876
10077,9861
10078,9870
10081,9865
10082,9874
10083,9859
10085,9877
10086,9862
10087,9871
10090,9866
10091,9875
10092,9860
10094,9878
10095,9863
10096,9872
10107,10099
10110,10102
10113,10105
10116,10100
10117,10109
10119,10103
10120,10112
10122,10106
10123,10115
10128,9696
10129,9705
10130,9714
10131,9699
10132,9708
10133,9717
10134,9694
10135,9703
10136,9712
10140,9700
10141,9709
10142,9718
10143,9695
10144,9704
10145,9713
10146,9698
10147,9707
10148,9716
10155,9939
10156,9948
10157,9957
10158,9942
10159,9951
10160,9960
10161,9937
10162,9946
10163,9955
10167,9943
10168,9952
10169,9961
10170,9938
10171,9947
10172,9956
10173,9941
10174,9950
10175,9959
10965,5349
10966,5358
10967,5367
10968,5352
10969,5361
10970,5370
10971,5347
10972,5356
10973,5365
10974,5350
10975,5359
10976,5368
10980,5348
10981,5357
10982,5366
10986,5354
10987,5363
10988,5372
10992,5592
10993,5601
10994,5610
10995,5595
10996,5604
10997,5613
10998,5590
10999,5599
11000,5608
11001,5593
11002,5602
11003,5611
11007,5591
11008,5600
11009,5609
11013,5597
11014,5606
11015,5615
11017,5193
11018,5202
11020,5196
11021,5205
11023,5199
11024,5208
11026,5194
11027,5203
11029,5197
11030,5206
11032,5200
11033,5209
11035,5195
11036,5204
11038,5198
11039,5207
11041,5201
11042,5210
11044,5436
11045,5445
11046,5430
11048,5448
11049,5433
11050,5442
11052,5428
11054,5446
11055,5431
11056,5440
11059,5443
11060,5452
11061,5429
11062,5438
11065,5441
11066,5450
11067,5435
11069,5453
11071,5679
11072,5688
11073,5673
11074,5682
11076,5676
11078,5694
11079,5671
11080,5680
11082,5674
11084,5692
11086,5686
11087,5695
11088,5672
11090,5690
11092,5684
11093,5693
11094,5678
11095,5687
11098,5274
11099,5283
11101,5277
11102,5286
11104,5280
11105,5289
11107,5275
11108,5284
11110,5278
11111,5287
11113,5281
11114,5290
11116,5276
11117,5285
11119,5279
11120,5288
11122,5282
11123,5291
11125,5517
11126,5526
11127,5511
11128,5520
11130,5514
11132,5532
11133,5509
11134,5518
11136,5512
11138,5530
11140,5524
11141,5533
11142,5510
11144,5528
11146,5522
11147,5531
11148,5516
11149,5525
11152,5760
11153,5769
11154,5754
11156,5772
11157,5757
11158,5766
11160,5752
11162,5770
11163,5755
11164,5764
11167,5767
11168,5776
11169,5753
11170,5762
11173,5765
11174,5774
11175,5759
11177,5777
11179,5139
11180,5148
11182,5142
11183,5151
11185,5145
11186,5154
11188,5140
11189,5149
11191,5143
11192,5152
11194,5146
11195,5155
11197,5141
11198,5150
11200,5144
11201,5153
11203,5147
11204,5156
11206,5382
11207,5391
11208,5376
11210,5394
11211,5379
11212,5388
11214,5374
11216,5392
11217,5377
11218,5386
11221,5389
11222,5398
11223,5375
11224,5384
11227,5387
11228,5396
11229,5381
11231,5399
11233,5625
11234,5634
11235,5619
11236,5628
11238,5622
11240,5640
11241,5617
11242,5626
11244,5620
11246,5638
11248,5632
11249,5641
11250,5618
11252,5636
11254,5630
11255,5639
11256,5624
11257,5633
11260,5220
11261,5229
11263,5223
11264,5232
11266,5226
11267,5235
11269,5221
11270,5230
11272,5224
11273,5233
11275,5227
11276,5236
11278,5222
11279,5231
11281,5225
11282,5234
11284,5228
11285,5237
11287,5463
11288,5472
11289,5457
11290,5466
11292,5460
11294,5478
11295,5455
11296,5464
11298,5458
11300,5476
11302,5470
11303,5479
11304,5456
11306,5474
11308,5468
11309,5477
11310,5462
11311,5471
11314,5706
11315,5715
11316,5700
11318,5718
11319,5703
11320,5712
11322,5698
11324,5716
11325,5701
11326,5710
11329,5713
11330,5722
11331,5699
11332,5708
11335,5711
11336,5720
11337,5705
11339,5723
11370,5538
11371,5547
11372,5556
11373,5541
11374,5550
11375,5559
11376,5536
11377,5545
11378,5554
11379,5539
11380,5548
11381,5557
11385,5537
11386,5546
11387,5555
11391,5543
11392,5552
11393,5561
11397,5781
11398,5790
11399,5799
11400,5784
11401,5793
11402,5802
11403,5779
11404,5788
11405,5797
11406,5782
11407,5791
11408,5800
11412,5780
11413,5789
11414,5798
11418,5786
11419,5795
11420,5804
11422,5166
11423,5175
11425,5169
11426,5178
11428,5172
11429,5181
11431,5167
11432,5176
11434,5170
11435,5179
11437,5173
11438,5182
11440,5168
11441,5177
11443,5171
11444,5180
11446,5174
11447,5183
11449,5409
11450,5418
11451,5403
11452,5412
11454,5406
11456,5424
11457,5401
11458,5410
11460,5404
11462,5422
11464,5416
11465,5425
11466,5402
11468,5420
11470,5414
11471,5423
11472,5408
11473,5417
11476,5652
11477,5661
11478,5646
11480,5664
11481,5649
11482,5658
11484,5644
11486,5662
11487,5647
11488,5656
11491,5659
11492,5668
11493,5645
11494,5654
11497,5657
11498,5666
11499,5651
11501,5669
11532,5484
11533,5493
11534,5502
11535,5487
11536,5496
11537,5505
11538,5482
11539,5491
11540,5500
11541,5485
11542,5494
11543,5503
11547,5483
11548,5492
11549,5501
11553,5489
11554,5498
11555,5507
11559,5727
11560,5736
11561,5745
11562,5730
11563,5739
11564,5748
11565,5725
11566,5734
11567,5743
11568,5728
11569,5737
11570,5746
11574,5726
11575,5735
11576,5744
11580,5732
11581,5741
11582,5750
11584,5328
11585,5337
11587,5331
11588,5340
11590,5334
11591,5343
11593,5329
11594,5338
11596,5332
11597,5341
11599,5335
11600,5344
11602,5330
11603,5339
11605,5333
11606,5342
11608,5336
11609,5345
11611,5571
11612,5580
11613,5565
11615,5583
11616,5568
11617,5577
11619,5563
11621,5581
11622,5566
11623,5575
11626,5578
11627,5587
11628,5564
11629,5573
11632,5576
11633,5585
11634,5570
11636,5588
11638,5814
11639,5823
11640,5808
11641,5817
11643,5811
11645,5829
11646,5806
11647,5815
11649,5809
11651,5827
11653,5821
11654,5830
11655,5807
11657,5825
11659,5819
11660,5828
11661,5813
11662,5822
11754,11746
11757,11749
11760,11752
11763,11747
11764,11756
11766,11750
11767,11759
11769,11753
11770,11762
11835,11827
11838,11830
11841,11833
11844,11828
11845,11837
11847,11831
11848,11840
11850,11834
11851,11843
11908,11700
11909,11709
11910,11694
11911,11703
11913,11697
11915,11715
11917,11701
11918,11710
11919,11695
11920,11704
11922,11698
11924,11716
11926,11702
11927,11711
11928,11696
11929,11705
11931,11699
11933,11717
11943,11935
11946,11938
11949,11941
11952,11936
11953,11945
11955,11939
11956,11948
11958,11942
11959,11951
11989,11781
11990,11790
11991,11775
11993,11793
11994,11778
11995,11787
11997,11773
11998,11782
12001,11785
12002,11794
12003,11779
12005,11797
12006,11774
12008,11792
12009,11777
12010,11786
12013,11789
12014,11798
12024,12016
12027,12019
12030,12022
12033,12017
12034,12026
12036,12020
12037,12029
12039,12023
12040,12032
12072,11856
12073,11865
12074,11874
12075,11859
12076,11868
12077,11877
12078,11854
12079,11863
12080,11872
12081,11857
12082,11866
12083,11875
12087,11855
12088,11864
12089,11873
12093,11861
12094,11870
12095,11879
12151,11727
12152,11736
12153,11721
12154,11730
12156,11724
12158,11742
12160,11728
12161,11737
12162,11722
12163,11731
12165,11725
12167,11743
12169,11729
12170,11738
12171,11723
12172,11732
12174,11726
12176,11744
12178,11970
12179,11979
12180,11964
12182,11982
12183,11967
12184,11976
12186,11962
12187,11971
12190,11974
12191,11983
12192,11968
12194,11986
12195,11963
12197,11981
12198,11966
12199,11975
12202,11978
12203,11987
12213,12205
12216,12208
12219,12211
12222,12206
12223,12215
12225,12209
12226,12218
12228,12212
12229,12221
12234,11802
12235,11811
12236,11820
12237,11805
12238,11814
12239,11823
12240,11800
12241,11809
12242,11818
12243,11803
12244,11812
12245,11821
12249,11801
12250,11810
12251,11819
12255,11807
12256,11816
12257,11825
12261,12045
12262,12054
12263,12063
12264,12048
12265,12057
12266,12066
12267,12043
12268,12052
12269,12061
12270,12046
12271,12055
12272,12064
12276,12044
12277,12053
12278,12062
12282,12050
12283,12059
12284,12068
12313,11889
12314,11898
12315,11883
12317,11901
12318,11886
12319,11895
12321,11881
12322,11890
12325,11893
12326,11902
12327,11887
12329,11905
12330,11882
12332,11900
12333,11885
12334,11894
12337,11897
12338,11906
12340,12132
12341,12141
